x,y,z,u,v,w,p
-2.36115,0,2.21819,4.37538,4.20E-05,0.17085,0.98224
2.07257,0,2.21821,3.41939,0.000304159,-0.371747,-1.70386
-2.36115,0,2.25455,4.40331,4.15E-05,0.171128,0.958038
2.07256,0,2.25457,3.59199,0.000300897,-0.361773,-1.67988
-2.36115,0,2.29091,4.43108,4.10E-05,0.171253,0.933836
2.07254,0,2.29093,3.75701,0.000292164,-0.350803,-1.65561
-2.36115,0,2.32728,4.45869,4.05E-05,0.171228,0.909672
2.07253,0,2.32729,3.913,0.000278959,-0.338989,-1.63108
-2.36115,0,2.36364,4.48613,4.01E-05,0.171059,0.885584
2.07251,0,2.36365,4.05875,0.000262537,-0.326494,-1.6063
-2.36115,0,2.4,4.5134,3.96E-05,0.170751,0.86161
2.0725,0,2.40001,4.19331,0.000244289,-0.313491,-1.58129
-2.36115,0,2.43637,4.54049,3.91E-05,0.17031,0.837784
2.07249,0,2.43637,4.3161,0.000225583,-0.300163,-1.55612
-2.36115,0,2.47273,4.56742,3.87E-05,0.169742,0.81414
2.07248,0,2.47273,4.42692,0.000207626,-0.286692,-1.53084
-2.36115,0,2.50909,4.59416,3.82E-05,0.169052,0.790707
2.07247,0,2.5091,4.52598,0.000191341,-0.273252,-1.50551
-2.36115,0,2.54546,4.62072,3.77E-05,0.168248,0.767515
2.07246,0,2.54546,4.61383,0.000177323,-0.259999,-1.48022
-2.36114,0,2.58182,4.64711,3.73E-05,0.167336,0.744589
2.07245,0,2.58182,4.69128,0.000165842,-0.247061,-1.45506
-2.36114,0,2.61818,4.67331,3.69E-05,0.166323,0.721956
2.07245,0,2.61818,4.75936,0.000156896,-0.23454,-1.43013
-2.36114,0,2.65455,4.69932,3.64E-05,0.165214,0.699636
2.07244,0,2.65455,4.81917,0.00015028,-0.222505,-1.40553
-2.36114,0,2.69091,4.72515,3.60E-05,0.164017,0.677652
2.07244,0,2.69091,4.87185,0.000145667,-0.210997,-1.38135
-2.36114,0,2.72727,4.7508,3.56E-05,0.162738,0.656021
2.07243,0,2.72727,4.91844,0.000142679,-0.200036,-1.35766
-2.36114,0,2.76364,4.77625,3.51E-05,0.161383,0.634759
2.07243,0,2.76364,4.95994,0.000140937,-0.18962,-1.33451
-2.36114,0,2.8,4.80152,3.47E-05,0.159959,0.61388
2.07242,0,2.8,4.99721,0.000140089,-0.179739,-1.31196
-2.36114,0,2.83636,4.8266,3.43E-05,0.15847,0.593395
2.07242,0,2.83636,5.03099,0.000139831,-0.17037,-1.29004
-2.36114,0,2.87273,4.85149,3.39E-05,0.156923,0.573312
2.07242,0,2.87273,5.06191,0.000139913,-0.16149,-1.26874
-2.36114,0,2.90909,4.8762,3.35E-05,0.155324,0.55364
2.07242,0,2.90909,5.09048,0.000140132,-0.153071,-1.24809
-2.36114,0,2.94545,4.90071,3.32E-05,0.153677,0.534383
2.07242,0,2.94545,5.11716,0.000140326,-0.145089,-1.22807
-2.36114,0,2.98182,4.92503,3.28E-05,0.151987,0.515548
2.07242,0,2.98182,5.14227,0.00014037,-0.137517,-1.20864
-2.36114,0,3.01818,4.94917,3.24E-05,0.15026,0.497138
2.07242,0,3.01818,5.16613,0.000140172,-0.130334,-1.18975
-2.36114,0,3.05455,4.97312,3.21E-05,0.1485,0.479154
2.07242,0,3.05455,5.18895,0.000139669,-0.123519,-1.17137
-2.36114,0,3.09091,4.99688,3.17E-05,0.14671,0.461597
2.07241,0,3.09091,5.21093,0.000138825,-0.117053,-1.15342
-2.36114,0,3.12727,5.02047,3.14E-05,0.144896,0.44447
2.07241,0,3.12727,5.23221,0.000137628,-0.11092,-1.13588
-2.36114,0,3.16364,5.04388,3.10E-05,0.143062,0.427769
2.07241,0,3.16364,5.25291,0.000136091,-0.105106,-1.11869
-2.36114,0,3.2,5.06712,3.07E-05,0.14121,0.411484
2.07241,0,3.2,5.27312,0.000134246,-0.0995985,-1.10181
-2.36114,0,3.23636,5.09018,3.04E-05,0.139336,0.395592
2.07241,0,3.23636,5.29292,0.000132156,-0.0943736,-1.08517
-2.36114,0,3.27273,5.12835,3.00E-05,0.13618,0.369992
2.07241,0,3.27273,5.32524,0.000128201,-0.0862177,-1.05792
-2.36114,0,3.40644,5.19695,2.91E-05,0.130424,0.32627
2.07241,0,3.40644,5.38241,0.000119126,-0.0733888,-1.00981
-2.36114,0,3.5467,5.28178,2.80E-05,0.123188,0.276003
2.07241,0,3.5467,5.45234,0.000106449,-0.0599925,-0.952238
-2.36114,0,3.69383,5.36872,2.67E-05,0.115745,0.229147
2.07241,0,3.69383,5.52397,9.41E-05,-0.0485932,-0.896044
-2.36114,0,3.84816,5.45795,2.55E-05,0.108236,0.185819
2.07241,0,3.84816,5.59807,8.30E-05,-0.0389345,-0.841428
-2.36114,0,4.01004,5.54957,2.42E-05,0.100771,0.14611
2.07241,0,4.01004,5.67506,7.33E-05,-0.030745,-0.788649
-2.36114,0,4.17986,5.64352,2.29E-05,0.0934528,0.110027
2.07241,0,4.17986,5.7551,6.48E-05,-0.0238332,-0.737859
-2.36114,0,4.35799,5.73955,2.17E-05,0.0863625,0.0775144
2.07241,0,4.35799,5.83814,5.75E-05,-0.0180295,-0.689191
-2.36114,0,4.54484,5.8372,2.04E-05,0.0795571,0.0484623
2.07241,0,4.54484,5.92393,5.10E-05,-0.013187,-0.642753
-2.36114,0,4.74084,5.93598,1.92E-05,0.0730717,0.0227214
2.07241,0,4.74084,6.01211,4.54E-05,-0.00917484,-0.598626
-2.36114,0,4.94643,6.03543,1.80E-05,0.0669203,0.000100133
2.07241,0,4.94643,6.10221,4.05E-05,-0.00588218,-0.556869
-2.13362,0,4.94643,6.0383,1.92E-05,0.0706988,-0.0271627
-1.90716,0,4.94643,6.04182,2.04E-05,0.0741073,-0.0587621
-1.68176,0,4.94643,6.04601,2.16E-05,0.0769824,-0.0946884
-1.45741,0,4.94643,6.05083,2.29E-05,0.0791449,-0.134688
-1.23411,0,4.94643,6.05621,2.43E-05,0.0804291,-0.178246
-1.01185,0,4.94643,6.06205,2.58E-05,0.0805936,-0.224472
-0.790635,0,4.94643,6.06674,2.68E-05,0.0801396,-0.261337
-0.771878,0,4.94643,6.06867,2.72E-05,0.0798639,-0.276644
-0.753122,0,4.94643,6.0692,2.73E-05,0.0797328,-0.280731
-0.734365,0,4.94643,6.06973,2.73E-05,0.0795879,-0.284734
-0.715608,0,4.94643,6.07026,2.74E-05,0.0794327,-0.288732
-0.696851,0,4.94643,6.07079,2.75E-05,0.0792678,-0.292741
-0.678095,0,4.94643,6.07131,2.77E-05,0.0790932,-0.29675
-0.659338,0,4.94643,6.07184,2.78E-05,0.0789089,-0.300754
-0.640581,0,4.94643,6.07237,2.79E-05,0.078715,-0.304753
-0.621825,0,4.94643,6.0729,2.80E-05,0.0785115,-0.308748
-0.603068,0,4.94643,6.07343,2.81E-05,0.0782986,-0.312736
-0.584311,0,4.94643,6.07395,2.82E-05,0.0780761,-0.316718
-0.565554,0,4.94643,6.07448,2.84E-05,0.0778442,-0.320691
-0.546798,0,4.94643,6.075,2.85E-05,0.0776027,-0.324656
-0.528041,0,4.94643,6.07553,2.86E-05,0.0773518,-0.328611
-0.509284,0,4.94643,6.07605,2.87E-05,0.0770915,-0.332555
-0.490527,0,4.94643,6.07657,2.88E-05,0.0768217,-0.336488
-0.471771,0,4.94643,6.07709,2.89E-05,0.0765425,-0.340408
-0.453014,0,4.94643,6.07761,2.89E-05,0.0762538,-0.344315
-0.434257,0,4.94643,6.07813,2.90E-05,0.0759559,-0.348207
-0.415501,0,4.94643,6.07865,2.91E-05,0.0756485,-0.352084
-0.396744,0,4.94643,6.07916,2.92E-05,0.0753319,-0.355945
-0.377987,0,4.94643,6.07967,2.93E-05,0.0750061,-0.359789
-0.35923,0,4.94643,6.08018,2.94E-05,0.074671,-0.363615
-0.340474,0,4.94643,6.08069,2.95E-05,0.0743268,-0.367422
-0.321717,0,4.94643,6.08119,2.96E-05,0.0739735,-0.371209
-0.30296,0,4.94643,6.08169,2.97E-05,0.0736112,-0.374975
-0.284203,0,4.94643,6.08219,2.97E-05,0.0732399,-0.37872
-0.265447,0,4.94643,6.08269,2.98E-05,0.0728597,-0.382443
-0.24669,0,4.94643,6.08318,2.99E-05,0.0724707,-0.386143
-0.227933,0,4.94643,6.08367,3.00E-05,0.0720729,-0.389818
-0.209177,0,4.94643,6.08416,3.01E-05,0.0716664,-0.393469
-0.19042,0,4.94643,6.08464,3.01E-05,0.0712513,-0.397094
