x,y,z,u,v,w,p
1.25,-0.625,0.8,0.519257,-0.0057462,0.195691,-2.83126
1.25,-0.625,0.9,0.631192,0.0158455,0.215223,-2.84586
1.25,-0.625,1,0.750324,0.0384123,0.23203,-2.84965
1.25,-0.625,1.1,0.887883,0.0596212,0.23851,-2.82579
1.25,-0.625,1.2,1.02848,0.0791491,0.232381,-2.79286
1.25,-0.625,1.3,1.14751,0.103299,0.229549,-2.78817
1.25,-0.625,1.4,1.28066,0.126523,0.214549,-2.77106
1.25,-0.625,1.5,1.44925,0.14433,0.176173,-2.72783
1.25,-0.625,1.6,1.6598,0.160038,0.124644,-2.67176
1.25,-0.625,1.7,1.8994,0.183856,0.0774123,-2.6337
1.25,-0.625,1.8,2.22595,0.20514,0.0176328,-2.57826
1.25,-0.625,1.9,2.6811,0.218397,-0.042161,-2.49056
1.25,-0.625,2,3.22758,0.22261,-0.0828292,-2.38465
1.25,-0.625,2.1,3.75356,0.21835,-0.104375,-2.29554
1.25,-0.625,2.2,4.19253,0.194902,-0.107222,-2.19655
1.25,-0.625,2.3,4.50919,0.155144,-0.0948794,-2.08559
1.25,-0.625,2.4,4.72506,0.116492,-0.0761049,-1.97433
1.25,-0.625,2.5,4.87615,0.0899505,-0.0589824,-1.87555
0.6,0.625,0.1,-0.321837,0.486975,0.0837102,-2.7951
0.6,0.625,0.2,-0.224577,0.466753,0.15292,-2.75683
0.6,0.625,0.3,-0.126457,0.436274,0.217872,-2.73344
0.6,0.625,0.4,-0.00707709,0.386593,0.273666,-2.72865
0.6,0.625,0.5,0.0791872,0.339922,0.32536,-2.73852
0.6,0.625,0.6,0.181728,0.289048,0.370809,-2.75056
0.6,0.625,0.7,0.282846,0.242207,0.412082,-2.76416
0.6,0.625,0.8,0.407022,0.193566,0.440534,-2.79065
0.6,0.625,0.9,0.481682,0.148895,0.459592,-2.82396
0.6,0.625,1,0.565936,0.112707,0.466443,-2.85438
0.6,0.625,1.1,0.638727,0.0860941,0.462013,-2.87478
0.6,0.625,1.2,0.740283,0.0642018,0.439518,-2.89585
0.6,0.625,1.3,0.806376,0.0430612,0.400207,-2.91235
0.6,0.625,1.4,0.900986,0.0267479,0.350565,-2.91094
0.6,0.625,1.5,1.01421,0.0125006,0.295129,-2.88769
0.6,0.625,1.6,1.20796,-0.00862035,0.235274,-2.85951
0.6,0.625,1.7,1.44492,-0.0312542,0.163564,-2.83414
0.6,0.625,1.8,1.80549,-0.0631423,0.1052,-2.78081
0.6,0.625,1.9,2.309,-0.108651,0.0628354,-2.6968
0.6,0.625,2,3.03855,-0.158564,0.0354773,-2.6347
0.6,0.625,2.1,3.73757,-0.171301,0.0106213,-2.60307
0.6,0.625,2.2,4.26461,-0.129853,0.0114667,-2.51597
0.6,0.625,2.3,4.62334,-0.0734421,0.0354564,-2.4051
0.6,0.625,2.4,4.83885,-0.0314785,0.0641959,-2.27469
0.6,0.625,2.5,4.96975,-0.00740444,0.086674,-2.13384
0.75,0.625,0.1,-0.211378,0.269695,0.0619169,-2.88462
0.75,0.625,0.2,-0.120405,0.300672,0.117768,-2.86122
0.75,0.625,0.3,-0.0259305,0.30598,0.17053,-2.84991
0.75,0.625,0.4,0.07717,0.298649,0.22304,-2.82227
0.75,0.625,0.5,0.176989,0.27164,0.26835,-2.84664
0.75,0.625,0.6,0.283893,0.242777,0.311749,-2.8533
0.75,0.625,0.7,0.38971,0.209893,0.351526,-2.86356
0.75,0.625,0.8,0.497369,0.176595,0.388159,-2.85565
0.75,0.625,0.9,0.59472,0.140282,0.410758,-2.88858
0.75,0.625,1,0.689778,0.107913,0.425329,-2.90034
0.75,0.625,1.1,0.778394,0.0782638,0.427934,-2.90988
0.75,0.625,1.2,0.868024,0.0535791,0.417295,-2.9025
0.75,0.625,1.3,0.955232,0.029636,0.390514,-2.91524
0.75,0.625,1.4,1.05832,0.0100863,0.351939,-2.90602
0.75,0.625,1.5,1.18301,-0.00966042,0.300398,-2.88781
0.75,0.625,1.6,1.3533,-0.0311836,0.240468,-2.85017
0.75,0.625,1.7,1.58923,-0.0567422,0.1731,-2.81937
0.75,0.625,1.8,1.9301,-0.0856995,0.109543,-2.76459
0.75,0.625,1.9,2.41296,-0.123811,0.0494576,-2.69394
0.75,0.625,2,3.07883,-0.159886,0.00674836,-2.5935
0.75,0.625,2.1,3.73406,-0.173092,-0.0134673,-2.51293
0.75,0.625,2.2,4.22977,-0.145132,-0.0164198,-2.42082
0.75,0.625,2.3,4.57965,-0.099137,-0.000827786,-2.31786
0.75,0.625,2.4,4.80137,-0.0602418,0.021438,-2.19975
